Step   80000 (g21.9+d66.9)s       | [D] min: 0.19       max: 2.29      | [R_te] min: 371.73         max: 961.82         Avg: 603.19 (68.32)      | ent 0.002 | w_noise: [0.01281 0.01458 0.02164 0.06040 0.12644 0.25488 0.34230 0.44827 0.53447 0.65665]
Step   81000 (g21.8+d66.7)s       | [D] min: 0.12       max: 1.69      | [R_te] min: 340.87         max: 821.72         Avg: 557.60 (47.18)      | ent 0.002 | w_noise: [0.01274 0.01456 0.02161 0.06040 0.12659 0.25477 0.34247 0.44913 0.53508 0.65781]
Step   82000 (g21.8+d66.5)s       | [D] min: 0.17       max: 1.49      | [R_te] min: 404.81         max: 1247.78        Avg: 618.52 (88.12)      | ent 0.002 | w_noise: [0.01279 0.01456 0.02167 0.06038 0.12689 0.25537 0.34365 0.44841 0.53496 0.65950]
Step   83000 (g21.9+d67.0)s       | [D] min: 0.20       max: 2.21      | [R_te] min: 390.59         max: 1329.18        Avg: 755.12 (92.77)      | ent 0.002 | w_noise: [0.01286 0.01463 0.02176 0.06084 0.12733 0.25670 0.34330 0.44976 0.53715 0.66426]
Step   84000 (g21.9+d66.8)s       | [D] min: 0.15       max: 1.78      | [R_te] min: 364.57         max: 729.05         Avg: 496.24 (30.90)      | ent 0.002 | w_noise: [0.01284 0.01463 0.02178 0.06084 0.12706 0.25666 0.34296 0.44956 0.53782 0.66364]
Step   85000 (g22.2+d67.4)s       | [D] min: 0.22       max: 1.88      | [R_te] min: 463.16         max: 1202.35        Avg: 732.96 (66.80)      | ent 0.002 | w_noise: [0.01285 0.01460 0.02177 0.06073 0.12711 0.25654 0.34390 0.45062 0.53977 0.66204]
Step   86000 (g22.1+d67.6)s       | [D] min: 0.12       max: 1.66      | [R_te] min: 560.09         max: 1029.57        Avg: 693.58 (41.94)      | ent 0.002 | w_noise: [0.01283 0.01463 0.02180 0.06079 0.12670 0.25605 0.34460 0.44912 0.53760 0.65994]
Step   87000 (g22.2+d67.7)s       | [D] min: 0.19       max: 1.69      | [R_te] min: 440.06         max: 1087.79        Avg: 688.71 (64.37)      | ent 0.002 | w_noise: [0.01273 0.01457 0.02170 0.06058 0.12658 0.25583 0.34401 0.44904 0.53674 0.66011]
Step   88000 (g22.2+d67.7)s       | [D] min: 0.20       max: 1.75      | [R_te] min: 539.51         max: 1463.76        Avg: 869.45 (98.01)      | ent 0.002 | w_noise: [0.01261 0.01448 0.02162 0.06037 0.12642 0.25565 0.34285 0.44882 0.53659 0.65982]
Step   89000 (g22.2+d67.7)s       | [D] min: 0.21       max: 1.66      | [R_te] min: 579.45         max: 878.02         Avg: 683.83 (25.22)      | ent 0.002 | w_noise: [0.01256 0.01441 0.02151 0.06036 0.12663 0.25517 0.34332 0.44836 0.53660 0.66034]
Step   90000 (g22.2+d67.7)s       | [D] min: 0.09       max: 1.70      | [R_te] min: 287.89         max: 986.63         Avg: 607.92 (60.51)      | ent 0.002 | w_noise: [0.01254 0.01437 0.02156 0.06043 0.12681 0.25517 0.34281 0.44948 0.53819 0.65951]
